대분류,카테고리_1,카테고리_2,워케이션 이름,행정구역,지역,주소,소개,예약링크,전화번호
워케이션 숙소,스테이형,도심형,고요산책,제주시,제주시내,제주시 중앙로 12길 5 (1층),"더 나은 내일, 나를 고민하는 여행자를 위한 조용한 북스테이
1층 북라운지와 2~3층 북스테이 공간으로 구성되어 있어 개인단위의 워케이션이 가능한 시설. 북스테이 이용 시 북라운지를 24시간 이용 가능함",www.instagram.com/goyowalk_jeju,0507-1330-2036
워케이션 숙소,스테이형,소도시형,소랑이싯다,제주시,제주시내,제주시 신선길 8-2,"제주 감성을 현대적으로 재해석하여 일주일간의 에코라이프를 즐기는 공간
신산머루마을 관리협동조합에서 도시재생사업의 일환으로 조성한 시설로 프립과 연계하여 워케이션 상품을 기획 및 판매하고 있으며 객실 내에 전문 오피스 가구인 시디즈 의자, 데스커 책상 등을 구비하고 있음",www.frip.co.kr/products/149585,010-2047-0259
워케이션 숙소,호텔형,해양형,나인부띠끄 호텔,서귀포시,서귀포시내,서귀포시 솔동산로 10번길 23,"서귀포의 아름다운 바다를 조망하며 일하고, 다양한 로컬 투어가 가능한 호텔
서귀포의 주요 관광지인 천지연 폭포, 정방폭포 등과 인접하여 있으며 워케이션 이용자를 위해 1층의 카페 나인을 공유업무공간으로 리모델링하여 숙박객들이 이용할 수 있도록 제공 중. 제주도 및 유관기관과 연계한 워케이션 프로그램 운영 중임",jeju9hotel.com,064-762-0045
워케이션 숙소,호텔형,해양형,플레이스 캠프,서귀포시,성산,서귀포시 성산읍 동류암로 20,"워케이션 및 다양한 로컬 체험 연계 이용이 가능한 복합문화공간이자 4성급 호텔
플레이스 캠프는 워케이션 수요자를 위해 기존 스탠다드룸 2개를 연결하여 숙박과 업무가 가능한 디럭스룸을 제공하고 있어 객실 내에서 워케이션이 가능함. 호텔 내부에 카페 및 액티비티체험 공간, 다양한 이벤트 교류 공간 등을 보유하고 있음",www.playcegroup.com,064-766-3000
워케이션 숙소,호텔형,소도시형,헤이 서귀포,서귀포시,서귀포시내,서귀포시 태평로 363 헤이서귀포,"오션뷰 객실과 프립캠프에서 업무를 즐길 수 있는 호텔
다양한 유관기관과 협력하여 워케이션 프로그램을 운영 중인 호텔로 객실 내부와 2층 ‘온실’(구 ‘프립’)에서 워케이션이 가능한 시설임. ‘온실’(구 ‘프립’) 은 공유업무와 다양한 문화체험을 복합적으로 이용 가능하며, 줌 부스 등이 마련되어 줌 회의 등이 가능함",heyy.gamsunglab.com,064-763-0024
워케이션 숙소,호텔형,소도시형,더 제이드 호텔,제주시,제주시내,제주시 관덕로 15길 7-1,"제주 동문시장 인근에 위치한 교통 인프라가 우수한 워케이션 호텔
(구)옥림여관을 리모델링한 시설로 객실 내에 업무가 가능한 데스크 등 보유. 1층 카페 공간에 공유업무공간과 회의실 등을 조성하여 운영 중이며, 호텔 인근에 W360, 제주시 소통협력센터 등의 업무 가능 시설이 위치하여 연계 이용 가능",thejade.kr,0507-1457-7027
워케이션 숙소,리조트형,산악형,한화리조트 제주,제주시,조천,제주시 명림로 575-107,"제주도 바다와 섬, 도심의 야경을 조망하며 워케이션이 가능한 리조트
한화리조트 제주는 객실 숙박권, 비즈니스라운지, 테라피 센터를 연계한 워케이션 패키지를 구성하여 장기숙박 상품으로 판매한 경험을 보유하고 있음. 비즈니스 라운지는 콘센트 테이블로 구성되어 있어 노트북, 전자기기를 편리하게 이용 가능",www.hanwharesort.co.kr,064-725-9000
워케이션 숙소,워케이션 특화형,해양형,질그랭이 거점센터,제주시,구좌,제주시 구좌읍 세평항로 46-9,"한적한 제주 바닷가 농촌마을에서 즐기는 워케이션 특화 공간
마을협동조합이 운영하는 공간으로 세화마을을 중심으로 해녀 투어, 다랑쉬 둘레길 걷기, 스탬프 투어 등 로컬투어 체험과 세화 바다를 바라보며 워케이션을 즐길 수 있는 곳으로 1층은 세화리사무소(업무 공간, 여행자센터), 2층 카페/지구별가게, 3층 공유오피스/세미나실, 4층 숙박시설(세화밖거리)로 구성됨",sehwamaeulcoop.com,010-7442-4577
워케이션 숙소,워케이션 특화형,산악형,코사이어티 빌리지,제주시,구좌,제주시 구좌읍 번영로 2133-50,"일과 휴식을 위한 영감의 공간
울창한 숲과 오름들에 둘러싸인 제주 구좌읍에 위치한 시설로 제주의 자연 속에서 워케이션을 즐길 수 있음. 기업 임대공간인 ‘Residence’와 단기 이용자를 위한 ‘Stay’ 공간, ‘몰입과 사색’이 가능한 프라이빗 라운지 등 시설 보유",cocietyvillage.co.kr,064-782-4994
워케이션 숙소,워케이션 특화형,해양형,O-Peace 제주(사계점),서귀포시,안덕,서귀포시 향교로 214,"새로운 시대, 새로운 방식으로 일하는 사람들을 위한 ‘New Workers Office’
O-Peace 제주가 조천점에 이어 두 번째로 개관한 워케이션 전문 시설로 산방산과 단산, 사계리 마을을 조망하며 평화롭게 일할 수 있는 워크 스페이스와 20개의 호텔 객실 등을 보유. 편리한 리모트워크 환경과 로컬에서 즐길 수 있는 다양한 활동 연계 운영 중",o-peace.com,070-4833-5954
워케이션 숙소,워케이션 특화형,해양형,O-Peace 제주(조천점),제주시,조천,제주시 조천2길 25,"제주의 푸른 바다를 바라보며 즐기는 워케이션 특화 공간. O-Peace 제주가 2019년 개관한 첫 번째 코워킹 스페이스 공간으로 리모트워커, 프리랜서, 디지털 노마드 등 누구나 제주에서의 특별한 워케이션을 경험할 수 있는 공간, 7개의 서로 다른 객실과 핫 데스크, 집중업무공간, 미팅부스 등의 시설 보유",o-peace.com,064-783-7539
